date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:55:33	244/244	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Jul%202020%2006:25:32%20GMT	http://localhost:8888/tipsfortechno	/Users/srikanth/websites/tipsontechno/localhost_8888/tipsfortechno.0.delayed	(from )
11:55:33	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Jul%202020%2006:25:33%20GMT	http://localhost:8888/robots.txt		(from )
11:55:34	17780/17780	---MC-	200	added ('OK')	text/html	date:Sat,%2004%20Jul%202020%2006:25:33%20GMT	http://localhost:8888/tipsfortechno/	/Users/srikanth/websites/tipsontechno/localhost_8888/tipsfortechno/index.html	(from )
11:55:34	53593/53593	---M--	200	added ('OK')	text/css	etag:%22178cf34-d159-5a40b11d01b80%22	http://localhost:8888/tipsfortechno/wp-includes/css/dist/block-library/style.min.css?ver=5.4.2	/Users/srikanth/websites/tipsontechno/localhost_8888/tipsfortechno/wp-includes/css/dist/block-library/style.min7661.css	(from http://localhost:8888/tipsfortechno/)
11:55:36	1954/1954	---M--	200	added ('OK')	text/css	etag:%22178cf37-7a2-59dee9af3cec0%22	http://localhost:8888/tipsfortechno/wp-includes/css/dist/block-library/theme.min.css?ver=5.4.2	/Users/srikanth/websites/tipsontechno/localhost_8888/tipsfortechno/wp-includes/css/dist/block-library/theme.min7661.css	(from http://localhost:8888/tipsfortechno/)
11:55:36	1707/1707	---M--	200	added ('OK')	application/rss+xml	etag:%22f784147631944079b1f4a5f64eafaea7%22	http://localhost:8888/tipsfortechno/comments/feed/	/Users/srikanth/websites/tipsontechno/localhost_8888/tipsfortechno/comments/feed/index.html	(from http://localhost:8888/tipsfortechno/)
11:55:36	1765/1765	---M--	200	added ('OK')	application/rss+xml	etag:%226460c84ee925e2c09b16748e73cb522a%22	http://localhost:8888/tipsfortechno/feed/	/Users/srikanth/websites/tipsontechno/localhost_8888/tipsfortechno/feed/index.html	(from http://localhost:8888/tipsfortechno/)
11:55:36	161303/161303	---M--	200	added ('OK')	text/css	etag:%22179104b-27617-5a98e4e243840%22	http://localhost:8888/tipsfortechno/wp-content/themes/sinatra/assets/css/style.min.css?ver=1.1.2	/Users/srikanth/websites/tipsontechno/localhost_8888/tipsfortechno/wp-content/themes/sinatra/assets/css/style.mincfa9.css	(from http://localhost:8888/tipsfortechno/)
11:55:38	19037/19037	---M--	200	added ('OK')	text/css	etag:%2217910e6-4a5d-5a98e4f36e0c0%22	http://localhost:8888/tipsfortechno/wp-content/uploads/sinatra/dynamic-styles.css?ver=1593803563	/Users/srikanth/websites/tipsontechno/localhost_8888/tipsfortechno/wp-content/uploads/sinatra/dynamic-styles93a7.css	(from http://localhost:8888/tipsfortechno/)
11:55:38	1781/1781	---M--	200	added ('OK')	text/css	etag:%221791046-6f5-5a98e4e243840%22	http://localhost:8888/tipsfortechno/wp-content/themes/sinatra/assets/css/compatibility/elementor.min.css?ver=1.1.2	/Users/srikanth/websites/tipsontechno/localhost_8888/tipsfortechno/wp-content/themes/sinatra/assets/css/compatibility/elementor.mincfa9.css	(from http://localhost:8888/tipsfortechno/)
11:55:39	876/876	---M--	200	added ('OK')	text/xml	date:Sat,%2004%20Jul%202020%2006:25:39%20GMT	http://localhost:8888/tipsfortechno/xmlrpc.php?rsd	/Users/srikanth/websites/tipsontechno/localhost_8888/tipsfortechno/xmlrpc0db0.php	(from http://localhost:8888/tipsfortechno/)
11:55:40	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22178d323-415-4ed4785da9bc0%22	http://localhost:8888/tipsfortechno/wp-includes/wlwmanifest.xml	/Users/srikanth/websites/tipsontechno/localhost_8888/tipsfortechno/wp-includes/wlwmanifest.xml	(from http://localhost:8888/tipsfortechno/)
11:55:41	5250/5250	---M--	200	added ('OK')	text/html	date:Sat,%2004%20Jul%202020%2006:25:41%20GMT	http://localhost:8888/tipsfortechno/wp-login.php	/Users/srikanth/websites/tipsontechno/localhost_8888/tipsfortechno/wp-login.html	(from http://localhost:8888/tipsfortechno/)
11:55:50	19707/19707	---MC-	200	added ('OK')	text/html	date:Sat,%2004%20Jul%202020%2006:25:42%20GMT	http://localhost:8888/tipsfortechno/author/tipsontechno/	/Users/srikanth/websites/tipsontechno/localhost_8888/tipsfortechno/author/tipsontechno/index.html	(from http://localhost:8888/tipsfortechno/)
